"Date Recorded","Currently Processing", "Wait Time (months)"
"Sun Dec 31 2017","Tue Mar 14 2017","9.7"
"Mon Jan 01 2018","Tue Mar 14 2017","9.8"
"Wed Jan 03 2018","Tue Mar 14 2017","9.9"
"Fri Jan 05 2018","Tue Mar 14 2017","9.9"
"Tue Jan 09 2018","Tue Mar 14 2017","10.1"
"Thu Jan 11 2018","Tue Mar 14 2017","10.1"
"Tue Jan 16 2018","Tue Mar 14 2017","10.3"
"Tue Jan 23 2018","Tue Mar 14 2017","10.5"
"Wed Jan 24 2018","Tue Mar 14 2017","10.6"
"Thu Jan 25 2018","Tue Mar 14 2017","10.6"
"Sat Feb 10 2018","Thu Apr 06 2017","10.4"
"Thu Feb 15 2018","Sat Apr 08 2017","10.5"
"Fri Feb 16 2018","Sat Apr 08 2017","10.5"
